순번,질문제목,제목글자수,제목잘림,작성일,답변수,분류,태그,질문 본문,답변 발췌,답변자,링크,제목 신규어(자동완성에 없음)
344,실업급여 8차 문의입니다.,14,N,2026.08.15.,4,고용보험,구직활동,,저희 엄마가 실업급여 8차를 이제 하려고 합니다. 직접 방문을 하라고 하셨는데 취업드림수첩에는 구직활동내역 4건을 하고 나서 취업활동증명서도 발급하려고 하는데 어떻게...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494748625&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"8차, 문의입니다"
345,실업급여 관련,7,N,2026.08.16.,4,고용보험,,,만약 8월에 실업급여 신청 후 10월에 재취업 하여 3개월 기간제 근무를 한 뒤 퇴사 후 실업급여를 재신청 할 수 있나요? 실업급여를 받던 중 재취업했다가 다시 퇴사하는 경우...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494758360&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
346,실업급여 수령시기,9,N,2026.08.17.,4,고용보험,,,그럼 8일분의 실업급여가 8월 29일에 들어오게 되나요? 그리고 완벽한(?) 100프로 실업급여는 9월말부터 받게되는걸까요? 몇년전 실업급여를 받은게 기억이 안나네요......,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494761909&answerNo=4&qb=7Iuk7JeF6riJ7Jes,수령시기
347,실업급여 수급 기간 중 일용직 알바 관련 질,24,Y,2026.08.17.,4,고용보험,"실업급여, 소득신고",,안녕하세요 :) 실업급여와 일용직 알바 기준 헷갈리기 쉬운 부분인데요 주 15시간 이상 월 60시간 이상은 보통 각각 따로 보는 기준이라서 하나만 넘어도 불리하게 볼 수 있어요...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494767856&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
348,실업급여 신청이 될까요?,13,N,2026.08.17.,4,고용보험,실업급여,,"실업급여를 신청하려고 하는데 아래와 같이 근무를 했었는데, 신청이 될까요? 직장 1 2025년 11월 10일 ~ 12월 8일, 주 5일, 월~금 근무, 주휴수당 O 자발적 퇴사 직장 2...",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494771713&answerNo=4&qb=7Iuk7JeF6riJ7Jes,신청이
349,실업급여 만료 후,9,N,2026.08.18.,4,고용보험,,,실업급여 수급만료 된 다음 날부터 입사지원 했던 곳 지원 취소나 면접 안가면 불이익 있나요? 수급이 만료되었으면 상관없습니다.,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494781722&answerNo=1&qb=7Iuk7JeF6riJ7Jes,만료
350,실업급여 질문드립니다..,13,N,2026.08.18.,4,고용보험,,,"실업급여 신청시 월 얼마나 받을수있을까요? 질문자님 현재 근무 형태(일 1시간 × 주 5일 = 주 5시간, 월 20시간 / 월급 46만 원)를 기준으로 실업급여 예상액을...",빛과소금(inte****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494782833&answerNo=1&qb=7Iuk7JeF6riJ7Jes,질문드립니다
351,실업급여 신청 가능여부,12,N,2026.08.18.,4,고용보험,실업급여,,2025.03 - 2025.10 근무하고 계약만료로 25년10월부터 26년 2월말까지 실업급여를 받았습니다 다시 취업하여 26.03 부터 26.09. 말까지 근무하는데 실업급여 다시...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494787109&answerNo=2&qb=7Iuk7JeF6riJ7Jes,가능여부
352,실업급여 충족요건,9,N,2026.08.19.,4,고용보험,,,"안녕하세요 전직장 이력이있어서 계약직 1개월정도 일하고 실업급여 받으면서 새직장을 구하려고하는데요 지금 보는곳이 국민연금,고용보험,산재보험 이렇게 3가지가...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494789877&answerNo=3&qb=7Iuk7JeF6riJ7Jes,충족요건
353,실업급여 수급중 해외여행,13,N,2026.08.19.,4,고용보험,,,실업급여 수급인정일이 지나고 일본여행을가려고하는데 가는데 문제없나요? 고용센터에 꼭 전화해서 통보해안되는건지 알고싶습니다~ 실업급여 해외여행 안내 수급인정일만...,피캇(ckdw****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494801744&answerNo=2&qb=7Iuk7JeF6riJ7Jes,수급중
354,실업급여 질문,7,N,2026.08.19.,4,고용보험,실업급여조건,,2026년 8월 3일~8월 31일 상용근로자 고용보험(콜센터) 3번으로 인해 1달이 안되면 실업급여 못받나요? 8/1~2는 주말이라 8/3부터 계약했어요! 주말이라 3일부터...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494805921&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
355,실업급여 수급 기준,10,N,2026.08.19.,4,고용보험,"실업급여, 자진퇴사실업급여, 계약직실업급여",,2026년 8월 3일~8월 31일 /상용근로자 근로계약 및 고용보험(콜센터)/단기계약종료(고용보험 자격취득 8/3) 3번으로 인해 1달이 안되면 실업급여 못받나요? 8/1~2는...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494807448&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
356,실업급여 신청가능문의,11,N,2026.08.20.,4,고용보험,,,내 직전 월평균급여가 200정도인데 실업급여 신청할경우 한달에 얼마정도 나오나요 회사 계약 만료로 퇴사예정이고 근무일수는 최근 18개월 이내에 180일 초과입니다 답변...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494809137&answerNo=4&qb=7Iuk7JeF6riJ7Jes,신청가능문의
357,실업급여 부정수급 자진신고,14,N,2026.08.20.,4,고용보험,,,실업급여 관련하여 고용 24로 부정수급 자진신고를 작성하였고 마지막에 전화가 갈 것이다라는 창도 보았는데 아직 연락이 오지 않아서요. 실업급여 타고 한참 후가 지나서...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494819330&answerNo=2&qb=7Iuk7JeF6riJ7Jes,자진신고
358,실업급여 지급 조건,10,N,2026.08.20.,4,고용보험,"실업급여조건, 계약직근무, 실업급여",,"안녕하세요 현재 계약직 근무 중입니다 1번은 주5일 근무, 9월 12일 종료 예정 2번은 4.5시간 주 2회 3번은 주 5일 8시간 근무였습니다 이런 경우 실업급여 조건 채워질까요?...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494821919&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
359,실업급여 알바 병행 가능 여부,16,N,2026.08.21.,4,고용보험,,,알바 투잡을 뛰는데 한곳을 관두면서 실업급여를 받고자 합니다. 다만 다른 곳은 계속 근무를 해야 하는지라 근무하면서 실업급여를 받는 것이 가능한지 궁금합니다. 근무 중인...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494825250&answerNo=4&qb=7Iuk7JeF6riJ7Jes,병행
360,실업급여 반복수급 문의,12,N,2026.08.21.,4,고용보험,,"실업급여를 10월에 받으려고 하는데 그럼 5년 내 3번째가 됩니다 반복수급 감액은 아직 시행되지 않은 것이라고 확인 했습니다 반복 수급자는 구직활동을 2주에 한 번 해야하며, 온라인 등 재취업 활동은 인정 안 한다고 하는데 저도 포함이 될까요? 어디선 4번째부터 반복 수급자라고 해서 헷갈려서 문의 드립니다","네, 이 부분이 인터넷에 설명이 조금씩 달라서 헷갈리실 만합니다. 현재 기준으로는 “5년 이내 3회 수급 = 무조건 반복수급자라서 구직활동만 해야 한다”라고 단정해서 보시면 안 됩니다. 반복수급자에 대한 별도 실업인정 기준이 적용되는지는 수급 횟수와 해당 수급자의 실업인정 조건을 고용센터에서 어떻게 적용하는지를 확인해야 합니다. 그리고 질문하신 “4번째부터 반복수급자....",ghlt****,https://kin.naver.com/qna/detail.naver?answerNo=1&dirId=6080402&docId=494832146&kinsrch_src=pc_tab_kin&qb=7Iuk7JeF6riJ7Jes,
361,실업급여 180일 충족하나요?,16,N,2026.08.21.,4,고용보험,,,고용보험 취득일이 26년 2월 1일이고 주 5일 근무하였으며 4대 보험도 가입되어 있습니다 8월 31일에 계약종료(비자발적퇴사)인데 실업급여 180일 충족하나요??...,청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494834164&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"180일, 충족하나요"
362,실업급여 서류 대기,10,N,2026.08.22.,4,고용보험,"실업급여, 개인사업자",,"들어가서 지원현황 보여주는 거로도 증빙이 되나요? 개인사업자가 실업급여 받는 건 기본적으로 불가능하지만, 방법은 있습니다. https://blog.naver.com/choipd80/224386563691",팩트체크 요즘대세(choi****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494844428&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
363,실업급여 문의,7,N,2026.08.23.,4,고용보험,,,후 실업인정 신청하시면 되겠습니다. 실직 당시 연령이 60세 이상인데 5건 진행해야... 지난 실업인정 신청 당시 매 회차 인정기간의 재취업활동 회수가 공히 1건 아니었나요!,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494850469&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
364,실업급여 타는 사람들은,12,N,2026.08.23.,4,고용보험,,,"실업급여 수급기간 중에 취직이 어려운 자리로만 지원해서 일자리를 탈락하기도 하나요? 네, 실제로 그런 경우는 있을 수 있습니다. 실업급여를 받는 동안 일부러 본인...",명경지수심심상인(zksp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494854389&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"타는, 사람들은"
365,실업급여 수급 중 보험설계사 취업?,19,N,2026.08.23.,4,고용보험,"실업급여, 보험설계사",,현재 실업급여를 받는 중인데 보험설계사 일을 해보려 합니다. 위촉직이고 초기에는 교육 기간도 있으며 본격적으로 영업을 시작해도 100%성과급제인만큼 당장 소득이 없을...,붐붐붐(kaka****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494860551&answerNo=1&qb=7Iuk7JeF6riJ7Jes,보험설계사
366,쿠팡단기직 실업급여,10,N,2026.08.24.,4,고용보험,,안녕하세요. 회사를 2년정도 근무 후 퇴사하여 쿠팡에서 단기직으로 일하고 있습니다. 단기직도 실업급여가 가능하다는데 전 회사에서도 고용보험이랑 쿠팡단기직으로 고용보험 내걸로 가능할까요?,네 가능합니다. 다만 중요한 것은 마지막으로 퇴사하는 곳이 어디인지입니다. 현재 회사에서 2년 근무 후 자발적으로 퇴사하고 쿠팡 단기직으로 근무 중이라면 쿠팡 근무가 끝나는 시점의 퇴사사유가 중요합니다. 쿠팡 단기직이 고용보험에 가입되어 있다면 기존 회사의 고용보험 기간과 쿠팡의 피보험단위기간을 합산할 수 있습니다. 최종 이직일 이전 18개월 안의 피보험단위기간이 180....,노마드라이프,https://kin.naver.com/qna/detail.naver?answerNo=1&dirId=6080402&docId=494864514&kinsrch_src=pc_tab_kin&qb=7Iuk7JeF6riJ7Jes,쿠팡단기직
367,자진퇴사 실업급여 신청,12,N,2026.08.24.,4,"고용, 고용복지","실업급여조건, 자진퇴사실업급여, 노무사님도와주세요, 노무사, 실업급여수급자격, 실업급여신청, 실업급여신청자격",,찾아 보니까 자진퇴사여도 출퇴근이 3시간 이상걸리고 부양할 가족이있어서 이사를 가게되면 실업급여 신청이 가능하다고 들었는데 실제로 어머니혼자 계셔서 이사를...,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494865359&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
368,실업급여가 가능한가요?,12,N,2026.08.25.,4,고용보험,,,이직확린서에 근로자의 귀책사유가없는 해고 라고 되있는데 실업급여가 가능한가요? 비자발적 퇴사라서 가능할겁니다,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494885266&answerNo=4&qb=7Iuk7JeF6riJ7Jes,실업급여가
369,52시간 초과근무로 인한 퇴사 실업급여 여부,24,N,2026.08.25.,4,고용보험,,,이전 상담시 퇴사 이전 1년내에 52시간 근무주가 9회이상시 실업급여 대상으로 안내받았습니다. 실업급여 수급 조건을 충족하려면 10/12일로 퇴사를...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494886225&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"52시간, 초과근무로, 인한"
370,실업급여 구직활동 중 문의,14,N,2026.08.27.,4,"고용, 고용복지",,,"실업급여 2차이고 구직활동 중 인데요, 제가 희망 업종이 사무 보조원(일반사업체)로 설정이 되어있는데 이런 경우 제조업 회사의 사무직으로 구직활동을 해도 되는건지...",마징가(ac****),https://kin.naver.com/qna/detail.naver?dirId=60804&docId=494887709&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
371,실업급여 조건 한번 봐주세요..!ㅠ,19,N,2026.08.25.,4,고용보험,,,실업급여 조건 한번 봐주세요..!ㅠ 직장a 2024 4.1- 2025.4.1 직장b 2025.4.1- 2026 2.23 직징c 2026.3.5- 2026. 8.25 전부다 고용보험 가입에 주 5일 근무 했습니다...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494887987&answerNo=4&qb=7Iuk7JeF6riJ7Jes,한번
372,자발적 퇴사로 실업급여 받을수있을까요?,21,N,2026.08.25.,4,고용보험,"자발적퇴사, 실업급여, 사업지이전, 퇴사사유",,이 상황에서 사업지 이전으로 인한 실업급여 신청이 가능할까요? 저는 자차출퇴근을 하다 곧 차량을 매각해야하는 상황이기도합니다 출퇴근 왕복시간이 3시간이 넘어가는게...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494888100&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"퇴사로, 받을수있을까요"
373,실업급여 문의,7,N,2026.08.26.,4,고용보험,,,2주전 실업급여 신청을 하여 1차 출석 대기 중에 면접을 봤던 곳에서 합격이 되어 이번주 월요일 하루 교육 받으러 1일 출근 하였습니다. 그런데 근로 환경이나 출퇴근...,청소년근로권익센터(yout****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494897013&answerNo=3&qb=7Iuk7JeF6riJ7Jes,
374,개인사업자 있는 상태에서 실업급여,18,N,2026.08.26.,4,고용보험,"실업급여, 실업급여조건, 개인사업자휴업실업급여, 개인사업자",,끝나서 실업급여를 신청후 조기재취업수당을 바로 신청하고 상용직 근무를 계속 할 예정입니다 개인사업자는 넘버를 구입한지 6개월이 되지않아서 후에 처분후 폐업할...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494897080&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"개인사업자, 상태에서"
375,실업급여 취업관련,9,N,2026.08.26.,4,고용보험,,,9월9일이 마지막회차 실업인정일이고 9월10일이 출근예정일입니다. 취업예정인데 따로... 생활비 주는 것도 아니고 구직하라고 주는 구직 지원급여인데 구직 할 필요가 없다면...,중서문하성낭사(nang****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494897568&answerNo=3&qb=7Iuk7JeF6riJ7Jes,취업관련
376,실업급여 180일 충족한지 계산해주세요 !!,24,N,2026.08.26.,4,고용보험,,,전직장 자진퇴사는 실업급여 산정에 보통 포함되지 않아요. 현재 직장 근무기간만으로 180일 충족되는지 확인해보시면 될 것 같아요.,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494902705&answerNo=2&qb=7Iuk7JeF6riJ7Jes,"180일, 충족한지, 계산해주세요"
377,실업급여신청전 알바후?,12,N,2026.08.27.,4,고용보험,,,"이전껄로바로 실업급여신청이 가능할까요? 이전 직장의 퇴사 사유가 '비자발적 퇴사(권고사직, 계약만료 등)'라면 가능합니다. 다만, 4대 보험 미가입 알바는 추후 행정 처리...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494910825&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"실업급여신청전, 알바후"
378,실업급여 질문,7,N,2026.08.27.,4,고용보험,,,자진퇴사라 실업급여를 못받을거같은데 너무 힘이들어서 9월 한달은 쉬고 10월부터 일반 알바로 3개월 근로계약서 작성 후 퇴직하게되면 실업급여를 받을 수 있게...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494913766&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
379,실업급여 관련,7,N,2026.08.27.,4,고용보험,,,안녕하세요 다름이 아니고 제가 실업급여를 수령하고 있는데 재취업활동을 2건을 해야하는데 혹시 한번은 구직활동 한번은 구직외활동하는식으로 하루에 몰아서 진행한...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494917976&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
380,뇌경색 실업급여,8,N,2026.08.27.,4,고용보험,,,"실업급여는 구직활동이 가능한 상태를 전제로 하기 때문에, 입원 치료 중이라 당장 근로가 어렵다면 이 요건을 어떻게 볼지가 관건입니다. 핵심은 사유보다 입증입니다....",퇴근후라이프(gdor****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494920249&answerNo=2&qb=7Iuk7JeF6riJ7Jes,뇌경색
381,실업급여 180일 미만,12,N,2026.08.28.,4,고용보험,,,1년 좀 넘게 알바하던 곳이 없어져서 실업급여를 받고 싶은데요 출근횟수가 180번보다 부족해요 사장님에게 부탁드려서 180번을 채운다던가 하면 무조건 들키나요? 1년 넘게...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494925362&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"180일, 미만"
382,실업급여관련하여 질문있습니다.,16,N,2026.08.28.,4,고용보험,,,제가 실업급여를 받기로 하고 퇴사를 하는데 회사에 고용지원금을 받는 직원이 있어서 실업급여를 해주기 어렵다는 답변을 받았습니다. 실업급여를 해주면 고용주에게 추후...,신천옹(cjro****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494928587&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"실업급여관련하여, 질문있습니다"
383,실업급여 근무일수 조건,12,N,2026.08.28.,4,고용보험,,,제가 25년3월10일 입사했는데 회사를 개월수로는 17개월 좀 넘게 다닌건데 혹시 실업급여 신청할 때 회사 근무 일수 조건에는 문제가 없는건지 궁금합니다. 6개월 이상 고용...,신천옹(cjro****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494929073&answerNo=1&qb=7Iuk7JeF6riJ7Jes,근무일수
384,실업급여 근로,7,N,2026.08.28.,4,고용보험,,,실업급여 수급 중 소득 신고 대상은 실업인정대상기간 내에 실제 근로를 하거나 소득이 발생한 경우에만 해당합니다. 따라서 8월 21일 이전에 일해서 발생한 소득은 이번...,아모리박사(jjj9****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494929808&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
385,실업급여 4차 질문이요,12,N,2026.08.28.,4,고용보험,"실업급여, 실업급여4차",,실업급여 4차 때는 지정된 날짜에 고용센터를 반드시 대면 방문해야 합니다. 헷갈리지 않으시도록 방문 시기와 구직활동 방법에 대해 핵심만 정리해 드릴게요. 1. 언제 방문해야...,힘내세요(ho****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494930025&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"4차, 질문이요"
386,실업급여부당해고,8,N,2026.08.28.,4,고용보험,"부당해고, 실업급여",,맘같아선 노동청에 신고 하고싶네요 실업급여도 6개월 이상부터 받을수있지않나요..? 도와주세요 안녕하세요. 한국공인노무사회-네이버 지식iN 상담 공인노무사 정마루...,공인노무사 정마루(with****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494931533&answerNo=3&qb=7Iuk7JeF6riJ7Jes,실업급여부당해고
387,"실업급여,퇴직금",8,N,2026.08.28.,4,고용보험,,,그만둔다고하면 실업급여 받기어렵나요? 실업급여를 신청해달라고하면 사장님께 불이익이있나요? 실업급여 받는 다고 사장이 불이익 받는 것은 없습니다 질문자가 4대보험...,신천옹(cjro****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494933954&answerNo=2&qb=7Iuk7JeF6riJ7Jes,
388,실업급여 자발적 퇴사여도 받을 수 있는 방법,24,N,2026.08.28.,4,고용보험,,,몇 주 지나고 다시 똑같은 회사에 재입사를 해서 180일을 채우면 실업급여를 받을 수 있나요? 자발적 퇴사도 마지막 직장 기준으로 따져서 비자발적으로 퇴사하면 실업급여를...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494935424&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"퇴사여도, 받을"
389,직장내 괴롭힘 퇴사 실업급여,15,N,2026.08.28.,4,고용보험,,,사직서 사유에 직장내 괴롭힘 권력남용 적고싶어요 다음 직장 이직후 계약만료로 퇴사하면 실업급여 받을 수 있나요? 받으려면 전 직장에서의 필요한 서류가 따로있나요?...,김선호 변호사(hans****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494935590&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"직장내, 괴롭힘"
390,실업급여 문의,7,N,2026.08.30.,4,고용보험,,,11월부터 4대보험은 다 들어간 상태 입니다 현재 취업준비로 인해 일을 그만두려고 하는데 자진퇴사는 실업급여 받기 어렵다 들어서 문의 드립니다 혹시 위 내용 처럼 근무...,가물치(h292****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494953192&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
391,실업급여 신청일 궁금합니다,14,N,2026.08.30.,4,고용보험,,,건설일용직으로 일하고있습니다 8월31일 퇴사를 하면 실업급여는 몇월 몇일날 신청할수있는건가요? 궁금합니다 건설일용근로자는 수급자격 신청 전 14일 동안...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494955365&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"신청일, 궁금합니다"
392,실업급여질문,6,N,2026.08.30.,4,고용보험,,,8월30일 실업급여 1차교육일입니다. 저번주에 면접보고 취업해서 9월1일 출근입니다. 8월30일 교육 참여를 해서 실업급여 1회라도 받아야될까요? 아님 실업급여 받지않고...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494957747&answerNo=2&qb=7Iuk7JeF6riJ7Jes,실업급여질문
393,고용보험일수 부족해서 실업급여 못 받을경,22,Y,2026.08.30.,4,고용보험,,,"고용보험 일수 7일 부족해서 실업급여를 못 받아서 받을수 있는 방법은 없을까요 안녕하세요. 딱 7일 부족하신 상황이라면, 포기하기 전에 몇 가지 확인해보실 부분이...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494959565&answerNo=3&qb=7Iuk7JeF6riJ7Jes,"고용보험일수, 부족해서, 받을경"
394,실업급여 부정수급인가요?,13,N,2026.09.02.,4,고용보험,"실업급여, 구직활동, 부정수급",,그래서 4차 실업급여를 수급받아야 되는데 4차는 구직활동 1회가 필수 포함인데 저는 최종합격한 회사가 원래 제가 갈려고 한 곳이라 다른 직장에 가고싶은 생각은 없습니다....,민승기노무사(mm****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494960238&answerNo=4&qb=7Iuk7JeF6riJ7Jes,부정수급인가요
395,실업급여 수급 중 전입신고(이사),18,N,2026.08.30.,4,고용보험,,,현재 실업급여 수급중에 있는데 실업급여 수급하고 있는 지역 이사문제로 잠깐 전입신고의 문제가 생겨 타지역으로 전입신고를 하였습니다. 실업급여 인정일날 타지역으로...,최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494960555&answerNo=2&qb=7Iuk7JeF6riJ7Jes,전입신고
396,퇴직후 회사에 실업급여 요청 가능한가요?,22,N,2026.08.31.,4,고용보험,,,퇴사한지 한달이 지났습니다 알아보니 주52시간 초과근무한게 많으면 실업급여 수급이 가능하다고 해서요 이제라도 회사에 요청하면 실업급여 신청이 가능한가요?...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494965396&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"퇴직후, 회사에, 요청"
397,실업급여 문의,7,N,2026.08.31.,4,고용보험,,,안녕하세요 실업급여 궁금한점이 있습니다 2025년8월1일 입사 해서 2026년 8월3일까지 근무를 하였습니다 근로계약서는 2025년9월에 작성을 하였는데 고용노동부에서 실업급여가...,코웨이 이팀장(roya****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494965408&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
398,실업급여 퇴사,7,N,2026.08.31.,4,고용보험,,,하지만 원래 해야할 업무 외에 다른 업무를 시키면 자진퇴사라해도 실업급여가 가능할까요? 사업주는 자진퇴사라 서류같은거 안써줄꺼고 그렇다면 사업주에게...,최창국공인노무사(cc37****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494965726&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
399,실업급여 취직 질문이요,12,N,2026.08.31.,4,고용보험,,,그래도 실업급여 4차까진 타먹을수있나요? 아니면 확 14일까지 출근날짜를 땡겨야하나요?ㅠㅠ 4차 인정일 당일 실업자냐 근로자냐입니다. 실업자 신분이면 평상시대로...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494968670&answerNo=4&qb=7Iuk7JeF6riJ7Jes,"취직, 질문이요"
400,2차 실업급여 질문,10,N,2026.08.31.,4,고용보험,,,"내일이 2차 실업급여 지급일 입니다. 2차 실업급여는 동영상 2개 시청이라고 되어있는데 혹시 번호 1,2로도 인정이 될까요? 조금 알아보니 동영상 2개를 봐야한다고 들어서...",,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494968786&answerNo=2&qb=7Iuk7JeF6riJ7Jes,2차
401,가족사업장 실업급여,10,N,2026.08.31.,4,고용보험,,,안녕하세요 실업급여 관련해서 문의드립니다. 2025.05~2026.03 까지 회사생활을 하다가 퇴사했고 2026.09부터 부모님 가게에서 잠시 일을하게 됐습니다. 부모님과는 동거중이며...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494972274&answerNo=4&qb=7Iuk7JeF6riJ7Jes,가족사업장
402,실업급여 기준 질문,10,N,2026.09.01.,4,고용보험,,,실업급여 떄문에 고용보험 이력을 봤는데 그냥 다 한 달에 7일로 되어있더라구요 누락된 달도 있구요 12월까지가 인턴 근무인데 일용직으로 실제 근무한 일은 150일 정도이고...,코웨이 이팀장(roya****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494980711&answerNo=1&qb=7Iuk7JeF6riJ7Jes,
403,알바 퇴사 후 실업급여,12,N,2026.09.01.,4,고용보험,,,"하고 최종 비자발적인 사유로 실직한 경우이며 근무기간 중 피보험 단위기간[근무일수, 유급일수]이 180일 이상이라면 실업급여 신청시 받을수 있는 자격에 해당되십니다.",갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494987757&answerNo=4&qb=7Iuk7JeF6riJ7Jes,
404,현재68세도 실업급여 받을수 있나요,19,N,2026.09.01.,4,고용보험,,,^ 질문자분께서 주5일기준 근로를 하고 계신것으로 보입니다 60세이후 계속 근로를 유지하시며 고용 보험료 납부하고 계신 상황이면 비자발적으로 퇴사 해야 실업급여...,,https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494988427&answerNo=1&qb=7Iuk7JeF6riJ7Jes,"현재68세도, 받을수"
405,질병퇴사 실업급여,9,N,2026.09.01.,4,고용보험,"노무사님도와주세요, 실업급여, 질병퇴사실업급여",,퇴사 후 소견서를 받게 된 것이 걸리는데… 그 전부터 진행했던 진료 내역과 병원에 방문한 통근확인서를 준비하면 추후 실업급여 신청하는데 도움이 될까요?...,갈거미(kp****),https://kin.naver.com/qna/detail.naver?dirId=6080402&docId=494988711&answerNo=3&qb=7Iuk7JeF6riJ7Jes,질병퇴사
